testing_network,filename,source,target_class,predicted_class,fastlin_eps
Dense3x25,Avg_Exp2_0.png,Exp2,0,0,6.875
Dense3x25,Avg_Exp2_1.png,Exp2,1,2,4.3603515625
Dense3x25,Avg_Exp2_3.png,Exp2,3,3,20.9326171875
Dense3x25,Avg_MNIST_0.png,MNIST,0,0,6.7626953125
Dense3x25,Avg_MNIST_1.png,MNIST,1,1,2.9638671875
Dense3x25,Avg_MNIST_3.png,MNIST,3,3,5.25390625
Dense2x29,Avg_Exp2_0.png,Exp2,0,0,9.072265625
Dense2x29,Avg_Exp2_1.png,Exp2,1,3,0.078125
Dense2x29,Avg_Exp2_3.png,Exp2,3,3,24.0185546875
Dense2x29,Avg_MNIST_0.png,MNIST,0,0,7.0068359375
Dense2x29,Avg_MNIST_1.png,MNIST,1,1,3.69140625
Dense2x29,Avg_MNIST_3.png,MNIST,3,3,5.4931640625
Dense3x41,Avg_Exp2_0.png,Exp2,0,0,13.3837890625
Dense3x41,Avg_Exp2_1.png,Exp2,1,1,1.8310546875
Dense3x41,Avg_Exp2_3.png,Exp2,3,3,13.9453125
Dense3x41,Avg_MNIST_0.png,MNIST,0,0,5.703125
Dense3x41,Avg_MNIST_1.png,MNIST,1,1,2.1044921875
Dense3x41,Avg_MNIST_3.png,MNIST,3,3,4.345703125
Dense3x19,Avg_Exp2_0.png,Exp2,0,0,16.8359375
Dense3x19,Avg_Exp2_1.png,Exp2,1,3,2.587890625
Dense3x19,Avg_Exp2_3.png,Exp2,3,3,23.115234375
Dense3x19,Avg_MNIST_0.png,MNIST,0,0,7.158203125
Dense3x19,Avg_MNIST_1.png,MNIST,1,1,3.7890625
Dense3x19,Avg_MNIST_3.png,MNIST,3,3,5.9716796875
Dense2x39,Avg_Exp2_0.png,Exp2,0,0,13.603515625
Dense2x39,Avg_Exp2_1.png,Exp2,1,2,0.5615234375
Dense2x39,Avg_Exp2_3.png,Exp2,3,3,19.84375
Dense2x39,Avg_MNIST_0.png,MNIST,0,0,5.6884765625
Dense2x39,Avg_MNIST_1.png,MNIST,1,1,3.0322265625
Dense2x39,Avg_MNIST_3.png,MNIST,3,3,4.453125
Dense3x47,Avg_Exp2_0.png,Exp2,0,0,11.1181640625
Dense3x47,Avg_Exp2_1.png,Exp2,1,2,1.3671875
Dense3x47,Avg_Exp2_3.png,Exp2,3,3,21.15234375
Dense3x47,Avg_MNIST_0.png,MNIST,0,0,5.595703125
