testing_network,gen_net1,gen_net2,target_class,predicted_class,mode,filename,fastlin_eps
Dense2x23,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,14.189453125
Dense2x23,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,21.298828125
Dense2x23,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,18.896484375
Dense2x23,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,12.4658203125
Dense2x22,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,8.935546875
Dense2x22,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,12.578125
Dense2x22,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,15.2978515625
Dense2x22,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,12.9443359375
Dense2x22,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,13.212890625
Dense2x22,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,15.4443359375
Dense2x22,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,17.4365234375
Dense2x22,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,9.4384765625
Dense3x31,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,14.2626953125
Dense3x31,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,25.2978515625
Dense3x31,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,14.1015625
Dense3x31,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,16.03515625
Dense3x31,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,13.544921875
Dense3x31,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,19.365234375
Dense3x31,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,21.728515625
Dense3x31,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,12.4560546875
Dense2x34,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,8.4375
Dense2x34,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,18.37890625
Dense2x34,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,9.51171875
Dense2x34,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,11.015625
Dense2x34,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,9.541015625
Dense2x34,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,11.923828125
Dense2x34,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,9.5947265625
Dense2x34,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,7.8662109375
Dense3x42,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,7.6416015625
Dense3x42,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,15.5517578125
Dense3x42,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,10.4541015625
Dense3x42,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,8.6669921875
Dense3x42,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,10.4736328125
Dense3x42,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,5.732421875
Dense3x42,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,7.880859375
Dense3x42,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,8.7451171875
Dense3x51,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,7.4267578125
Dense3x51,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,15.44921875
Dense3x51,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,9.7265625
Dense3x51,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,9.84375
Dense3x51,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,8.8623046875
Dense3x51,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,9.5751953125
Dense3x51,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,9.7314453125
Dense3x51,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,8.837890625
Dense3x25,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,4.2236328125
Dense3x25,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,19.6484375
Dense3x25,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,11.73828125
Dense3x25,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,6.4111328125
Dense3x25,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,11.58203125
Dense3x25,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,25.810546875
Dense3x25,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,19.0673828125
Dense3x25,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,13.7353515625
Dense2x29,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,7.44140625
Dense2x29,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,26.962890625
Dense2x29,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,14.6484375
Dense2x29,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,12.265625
Dense2x29,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,14.0283203125
Dense2x29,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,19.6435546875
Dense2x29,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,20.2001953125
Dense2x29,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,11.2548828125
Dense3x41,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,14.3115234375
Dense3x41,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,17.333984375
Dense3x41,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,12.958984375
Dense3x41,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,13.896484375
Dense3x41,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,13.6669921875
Dense3x41,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,8.740234375
Dense3x41,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,11.220703125
Dense3x41,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,12.919921875
Dense3x19,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,14.8583984375
Dense3x19,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,23.291015625
Dense3x19,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,14.8095703125
Dense3x19,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,14.86328125
Dense3x19,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,16.4599609375
Dense3x19,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,27.080078125
Dense3x19,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,20.810546875
Dense3x19,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,15.6201171875
Dense2x39,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,14.853515625
Dense2x39,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,19.8291015625
Dense2x39,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,13.046875
Dense2x39,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,16.083984375
Dense2x39,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,14.4140625
Dense2x39,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,14.8876953125
Dense2x39,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,16.6064453125
Dense2x39,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,11.279296875
Dense3x47,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,12.001953125
Dense3x47,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,22.0458984375
Dense3x47,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,10.7421875
Dense3x47,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,13.7255859375
Dense3x47,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,11.865234375
Dense3x47,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,16.630859375
Dense3x47,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,17.9345703125
Dense3x47,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,9.3115234375
Dense2x37,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,11.591796875
Dense2x37,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,23.8720703125
Dense2x37,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,15.5078125
Dense2x37,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,11.97265625
Dense2x37,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,15.107421875
Dense2x37,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,17.1875
Dense2x37,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,19.2919921875
Dense2x37,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,12.2509765625
Dense3x33,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,13.9306640625
Dense3x33,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,20.634765625
Dense3x33,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,13.0419921875
Dense3x33,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,13.7353515625
Dense3x33,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,12.71484375
Dense3x33,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,19.2626953125
Dense3x33,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,19.1796875
Dense3x33,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,13.271484375
Dense2x18,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,7.55859375
Dense2x18,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,26.5673828125
Dense2x18,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,9.6875
Dense2x18,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,9.5751953125
Dense2x18,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,9.3115234375
Dense2x18,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,17.7490234375
Dense2x18,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,18.0517578125
Dense2x18,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,7.01171875
Dense3x29,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,5.224609375
Dense3x29,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,19.6533203125
Dense3x29,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,11.07421875
Dense3x29,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,10.546875
Dense3x29,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,9.58984375
Dense3x29,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,20.4833984375
Dense3x29,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,25.7373046875
Dense3x29,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,8.4228515625
Dense3x43,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,7.5146484375
Dense3x43,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,13.8525390625
Dense3x43,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,10.33203125
Dense3x43,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,11.2109375
Dense3x43,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,9.6875
Dense3x43,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,9.8095703125
Dense3x43,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,10.7470703125
Dense3x43,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,7.705078125
Dense3x32,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,13.69140625
Dense3x32,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,20.8154296875
