testing_network,generating_network,target_class,som_mode,predicted_class,filename,fastlin_eps
Dense1x60,Dense2x39,3,second_place_relative,3,Dense2x39_3_second_place_relative.png,24.53125
Dense1x60,Dense2x40,0,independent,0,Dense2x40_0_independent.png,9.814453125
Dense1x60,Dense2x40,0,mean_relative,0,Dense2x40_0_mean_relative.png,9.931640625
Dense1x60,Dense2x40,0,second_place_relative,0,Dense2x40_0_second_place_relative.png,6.9775390625
Dense1x60,Dense2x40,1,independent,2,Dense2x40_1_independent.png,6.0791015625
Dense1x60,Dense2x40,1,mean_relative,2,Dense2x40_1_mean_relative.png,11.9091796875
Dense1x60,Dense2x40,1,second_place_relative,1,Dense2x40_1_second_place_relative.png,5.8349609375
Dense1x60,Dense2x40,3,independent,3,Dense2x40_3_independent.png,25.1171875
Dense1x60,Dense2x40,3,mean_relative,3,Dense2x40_3_mean_relative.png,16.1865234375
Dense1x60,Dense2x40,3,second_place_relative,3,Dense2x40_3_second_place_relative.png,22.7734375
Dense1x60,Dense2x41,0,independent,0,Dense2x41_0_independent.png,8.59375
Dense1x60,Dense2x41,0,mean_relative,0,Dense2x41_0_mean_relative.png,7.9931640625
Dense1x60,Dense2x41,0,second_place_relative,0,Dense2x41_0_second_place_relative.png,11.6357421875
Dense1x60,Dense2x41,1,independent,2,Dense2x41_1_independent.png,0.439453125
Dense1x60,Dense2x41,1,mean_relative,2,Dense2x41_1_mean_relative.png,4.3798828125
Dense1x60,Dense2x41,1,second_place_relative,1,Dense2x41_1_second_place_relative.png,9.1552734375
Dense1x60,Dense2x41,3,independent,3,Dense2x41_3_independent.png,24.5556640625
Dense1x60,Dense2x41,3,mean_relative,3,Dense2x41_3_mean_relative.png,23.515625
Dense1x60,Dense2x41,3,second_place_relative,3,Dense2x41_3_second_place_relative.png,22.2509765625
Dense1x60,Dense3x12,0,independent,5,Dense3x12_0_independent.png,8.2958984375
Dense1x60,Dense3x12,0,mean_relative,5,Dense3x12_0_mean_relative.png,8.7451171875
Dense1x60,Dense3x12,0,second_place_relative,7,Dense3x12_0_second_place_relative.png,7.0263671875
Dense1x60,Dense3x12,1,independent,7,Dense3x12_1_independent.png,5.9423828125
Dense1x60,Dense3x12,1,mean_relative,7,Dense3x12_1_mean_relative.png,8.4326171875
Dense1x60,Dense3x12,1,second_place_relative,7,Dense3x12_1_second_place_relative.png,0.9521484375
Dense1x60,Dense3x12,3,independent,3,Dense3x12_3_independent.png,3.33984375
Dense1x60,Dense3x12,3,mean_relative,3,Dense3x12_3_mean_relative.png,4.1015625
Dense1x60,Dense3x12,3,second_place_relative,3,Dense3x12_3_second_place_relative.png,11.4208984375
Dense1x60,Dense3x19,0,independent,2,Dense3x19_0_independent.png,2.1533203125
Dense1x60,Dense3x19,0,mean_relative,5,Dense3x19_0_mean_relative.png,0.3125
Dense1x60,Dense3x19,0,second_place_relative,0,Dense3x19_0_second_place_relative.png,8.212890625
Dense1x60,Dense3x19,1,independent,2,Dense3x19_1_independent.png,7.7783203125
Dense1x60,Dense3x19,1,mean_relative,2,Dense3x19_1_mean_relative.png,8.80859375
Dense1x60,Dense3x19,1,second_place_relative,1,Dense3x19_1_second_place_relative.png,5.8251953125
Dense1x60,Dense3x19,3,independent,3,Dense3x19_3_independent.png,14.4287109375
Dense1x60,Dense3x19,3,mean_relative,3,Dense3x19_3_mean_relative.png,14.345703125
Dense1x60,Dense3x19,3,second_place_relative,3,Dense3x19_3_second_place_relative.png,14.8681640625
Dense1x60,Dense3x20,0,independent,0,Dense3x20_0_independent.png,3.935546875
Dense1x60,Dense3x20,0,mean_relative,5,Dense3x20_0_mean_relative.png,3.06640625
Dense1x60,Dense3x20,0,second_place_relative,0,Dense3x20_0_second_place_relative.png,3.8330078125
Dense1x60,Dense3x20,1,independent,5,Dense3x20_1_independent.png,1.9873046875
Dense1x60,Dense3x20,1,mean_relative,2,Dense3x20_1_mean_relative.png,1.3818359375
Dense1x60,Dense3x20,1,second_place_relative,2,Dense3x20_1_second_place_relative.png,0.46875
Dense1x60,Dense3x20,3,independent,3,Dense3x20_3_independent.png,9.619140625
Dense1x60,Dense3x20,3,mean_relative,3,Dense3x20_3_mean_relative.png,8.0615234375
Dense1x60,Dense3x20,3,second_place_relative,3,Dense3x20_3_second_place_relative.png,19.4384765625
Dense1x60,Dense3x25,0,independent,0,Dense3x25_0_independent.png,0.595703125
Dense1x60,Dense3x25,0,mean_relative,0,Dense3x25_0_mean_relative.png,4.765625
Dense1x60,Dense3x25,0,second_place_relative,0,Dense3x25_0_second_place_relative.png,9.9560546875
Dense1x60,Dense3x25,1,independent,5,Dense3x25_1_independent.png,2.8759765625
Dense1x60,Dense3x25,1,mean_relative,5,Dense3x25_1_mean_relative.png,3.4716796875
Dense1x60,Dense3x25,1,second_place_relative,1,Dense3x25_1_second_place_relative.png,1.533203125
Dense1x60,Dense3x25,3,independent,3,Dense3x25_3_independent.png,16.7919921875
Dense1x60,Dense3x25,3,mean_relative,3,Dense3x25_3_mean_relative.png,14.6044921875
Dense1x60,Dense3x25,3,second_place_relative,3,Dense3x25_3_second_place_relative.png,16.3818359375
Dense1x60,Dense3x29,0,independent,0,Dense3x29_0_independent.png,6.728515625
Dense1x60,Dense3x29,0,mean_relative,0,Dense3x29_0_mean_relative.png,2.6953125
Dense1x60,Dense3x29,0,second_place_relative,0,Dense3x29_0_second_place_relative.png,11.6455078125
Dense1x60,Dense3x29,1,independent,7,Dense3x29_1_independent.png,0.4248046875
Dense1x60,Dense3x29,1,mean_relative,3,Dense3x29_1_mean_relative.png,0.498046875
Dense1x60,Dense3x29,1,second_place_relative,1,Dense3x29_1_second_place_relative.png,1.9384765625
Dense1x60,Dense3x29,3,independent,3,Dense3x29_3_independent.png,4.970703125
Dense1x60,Dense3x29,3,mean_relative,3,Dense3x29_3_mean_relative.png,4.0771484375
Dense1x60,Dense3x29,3,second_place_relative,3,Dense3x29_3_second_place_relative.png,11.0009765625
Dense1x60,Dense3x31,0,independent,0,Dense3x31_0_independent.png,11.318359375
Dense1x60,Dense3x31,0,mean_relative,0,Dense3x31_0_mean_relative.png,13.623046875
Dense1x60,Dense3x31,0,second_place_relative,0,Dense3x31_0_second_place_relative.png,13.41796875
Dense1x60,Dense3x31,1,independent,2,Dense3x31_1_independent.png,2.4951171875
Dense1x60,Dense3x31,1,mean_relative,2,Dense3x31_1_mean_relative.png,3.10546875
Dense1x60,Dense3x31,1,second_place_relative,1,Dense3x31_1_second_place_relative.png,1.4404296875
Dense1x60,Dense3x31,3,independent,3,Dense3x31_3_independent.png,14.1845703125
Dense1x60,Dense3x31,3,mean_relative,3,Dense3x31_3_mean_relative.png,13.22265625
Dense1x60,Dense3x31,3,second_place_relative,3,Dense3x31_3_second_place_relative.png,16.083984375
Dense1x60,Dense3x32,0,independent,0,Dense3x32_0_independent.png,8.6181640625
Dense1x60,Dense3x32,0,mean_relative,0,Dense3x32_0_mean_relative.png,0.5517578125
Dense1x60,Dense3x32,0,second_place_relative,0,Dense3x32_0_second_place_relative.png,10.4296875
Dense1x60,Dense3x32,1,independent,2,Dense3x32_1_independent.png,6.6845703125
Dense1x60,Dense3x32,1,mean_relative,2,Dense3x32_1_mean_relative.png,4.2236328125
Dense1x60,Dense3x32,1,second_place_relative,2,Dense3x32_1_second_place_relative.png,0.5078125
Dense1x60,Dense3x32,3,independent,3,Dense3x32_3_independent.png,21.0791015625
Dense1x60,Dense3x32,3,mean_relative,3,Dense3x32_3_mean_relative.png,18.6083984375
Dense1x60,Dense3x32,3,second_place_relative,3,Dense3x32_3_second_place_relative.png,20.6396484375
Dense1x60,Dense3x33,0,independent,0,Dense3x33_0_independent.png,11.1474609375
Dense1x60,Dense3x33,0,mean_relative,0,Dense3x33_0_mean_relative.png,10.3173828125
Dense1x60,Dense3x33,0,second_place_relative,0,Dense3x33_0_second_place_relative.png,9.697265625
Dense1x60,Dense3x33,1,independent,1,Dense3x33_1_independent.png,1.8310546875
Dense1x60,Dense3x33,1,second_place_relative,1,Dense3x33_1_second_place_relative.png,3.193359375
Dense1x60,Dense3x33,3,independent,3,Dense3x33_3_independent.png,17.333984375
Dense1x60,Dense3x33,3,mean_relative,3,Dense3x33_3_mean_relative.png,18.349609375
Dense1x60,Dense3x33,3,second_place_relative,3,Dense3x33_3_second_place_relative.png,14.208984375
Dense1x60,Dense3x36,0,independent,0,Dense3x36_0_independent.png,8.5888671875
Dense1x60,Dense3x36,0,mean_relative,0,Dense3x36_0_mean_relative.png,6.66015625
Dense1x60,Dense3x36,0,second_place_relative,0,Dense3x36_0_second_place_relative.png,11.4892578125
Dense1x60,Dense3x36,3,independent,3,Dense3x36_3_independent.png,17.900390625
Dense1x60,Dense3x36,3,second_place_relative,3,Dense3x36_3_second_place_relative.png,21.11328125
Dense1x60,Dense3x38,0,second_place_relative,0,Dense3x38_0_second_place_relative.png,12.0751953125
Dense1x60,Dense3x38,3,independent,3,Dense3x38_3_independent.png,20.7275390625
Dense1x60,Dense3x38,3,mean_relative,3,Dense3x38_3_mean_relative.png,17.7685546875
Dense1x60,Dense3x38,3,second_place_relative,3,Dense3x38_3_second_place_relative.png,16.4453125
Dense1x60,Dense4x15,0,independent,5,Dense4x15_0_independent.png,6.8603515625
Dense1x60,Dense4x15,0,mean_relative,5,Dense4x15_0_mean_relative.png,8.0419921875
Dense1x60,Dense4x15,0,second_place_relative,5,Dense4x15_0_second_place_relative.png,2.333984375
Dense1x60,Dense4x15,1,independent,2,Dense4x15_1_independent.png,5.1806640625
Dense1x60,Dense4x15,1,mean_relative,2,Dense4x15_1_mean_relative.png,5.3564453125
Dense1x60,Dense4x15,1,second_place_relative,2,Dense4x15_1_second_place_relative.png,2.71484375
Dense1x60,Dense4x15,3,independent,3,Dense4x15_3_independent.png,23.75
Dense1x60,Dense4x15,3,mean_relative,3,Dense4x15_3_mean_relative.png,23.6572265625
Dense1x60,Dense4x15,3,second_place_relative,3,Dense4x15_3_second_place_relative.png,16.083984375
Dense1x60,Dense4x20,0,independent,3,Dense4x20_0_independent.png,5.6689453125
Dense1x60,Dense4x20,0,mean_relative,3,Dense4x20_0_mean_relative.png,4.140625
Dense1x60,Dense4x20,0,second_place_relative,3,Dense4x20_0_second_place_relative.png,1.3427734375
Dense1x60,Dense4x20,1,independent,2,Dense4x20_1_independent.png,1.5869140625
Dense1x60,Dense4x20,1,mean_relative,2,Dense4x20_1_mean_relative.png,2.63671875
Dense1x60,Dense4x20,1,second_place_relative,2,Dense4x20_1_second_place_relative.png,1.0498046875
